"","ikey","Location","Source","Chronological.Frame","Language"
"306","PH279862","Chalcedon","SEG 37: 1035","---","Greek"
"307","PH279864","Chalcedon","SEG 37: 1037","---","Greek"
"308","PH279865","Chalcedon","SEG 37: 1038,1","---","Greek"
"309","PH279866","Chalcedon","SEG 37: 1038,2","---","Greek"
"310","PH279867","Chalcedon","SEG 37: 1038,3","---","Greek"
"311","PH279868","Chalcedon","SEG 37: 1039","---","Greek"
"312","PH279869","Chalcedon","SEG 37: 1041","---","Greek"
"313","PH279870","Chalcedon","SEG 37: 1042","---","Greek"
"314","PH279871","Chalcedon","SEG 37: 1043","---","Greek"
"315","PH279872","Chalcedon","SEG 37: 1044","---","Greek"
"316","PH279877","Chalcedon","SEG 37: 1049","---","Greek"
"317","PH279878","Chalcedon","SEG 37: 1050","---","Greek"
"318","PH279879","Chalcedon","SEG 37: 1051","---","Greek"
"319","PH279880","Chalcedon","SEG 37: 1052,1","---","Greek"
"320","PH279881","Chalcedon","SEG 37: 1053","---","Greek"
"321","PH279882","Chalcedon","SEG 37: 1054,4","---","Greek"
"322","PH279883","Chalcedon","SEG 37: 1054,5","---","Greek"
"323","PH279885","Chalcedon","SEG 37: 1056","---","Greek"
"324","PH279886","Chalcedon","SEG 37: 1057","---","Greek"
"325","PH279887","Chalcedon","SEG 37: 1058","---","Greek"
"326","PH279888","Chalcedon","SEG 37: 1059","---","Greek"
"327","PH279889","Chalcedon","SEG 37: 1060","---","Greek"
"328","PH279890","Chalcedon","SEG 37: 1061","---","Greek"
"329","PH279892","Chalcedon","SEG 37: 1064","---","Greek"
"330","PH279894","Chalcedon","SEG 37: 1066","---","Greek"
"331","PH279896","Chalcedon","SEG 37: 1068","---","Greek"
"332","","Claudiopolis","SEG 51: 1708","Roman Imperial period","Greek"
"333","","Claudiopolis","SEG 58: 1431","Roman Imperial period","Greek"
"334","","Claudiopolis","SEG 58: 1432","Roman Imperial period","Greek"
"335","PH279380","Claudiopolis","IK Klaudiu Polis 16","Roman Imp. period","Greek"
"336","PH279836","Claudiopolis","SEG 36: 1151,1","Roman Imp. period","Greek"
"337","PH279837","Claudiopolis","SEG 36: 1151,2","Roman Imp. period","Greek"
"338","","Claudiopolis","SEG 58: 1425","---","Greek"
"339","","Claudiopolis","SEG 58: 1428","---","Greek"
"340","","Claudiopolis","SEG 58: 1435","---","Greek"
"341","","Claudiopolis","SEG 58: 1436","---","Greek"
"342","PH279420","Claudiopolis","IK Klaudiu Polis 59","middle 2nd c. AD","Greek"
"343","PH279408","Claudiopolis","IK Klaudiu Polis 44","end of the 3rd c. AD","Greek"
"344","","Claudiopolis","SEG 58: 1418","end of the 2nd century AD","Greek"
"345","","Claudiopolis","SEG 58: 1442","Christian","Greek"
"346","","Claudiopolis","SEG 58: 1443","Christian","Greek"
"347","","Claudiopolis","SEG 58: 1444","Christian","Greek"
"348","PH279417","Claudiopolis","IK Klaudiu Polis 56","ca. 130 AD","Greek"
"349","PH279371","Claudiopolis","IK Klaudiu Polis 7","ca. 130 AD","Greek"
"350","","Claudiopolis","SEG 58: 1419","Antonine or Severan","Greek"
"351","","Claudiopolis","SEG 58: 1427","Antonine or Severan","Greek"
"352","","Claudiopolis","SEG 58: 1421","AD 79 - 81","Greek"
"353","","Claudiopolis","AE 2007, 1323; SEG 57: 1272","AD 150 - 190","Greek"
"354","","Claudiopolis","SEG 58: 1416","AD 130 - 138","Greek"
